Nome;Atuacao
TENENTE LÚCIO;1/2/2015 ...
TEREZA CRISTINA;1/2/2015 ...
THIAGO PEIXOTO;1/2/2015 até 4/2/2015, 19/10/2015 até 26/10/2015, 11/7/2016 ...
TIA ERON;1/2/2015 até 12/1/2017, 1/2/2017 até 25/4/2017
TIRIRICA;1/2/2015 ...
TONINHO PINHEIRO;1/2/2015 ...
TONINHO WANDSCHEER;1/2/2015 ...
ULDURICO JUNIOR;1/2/2015 ...
VAIDON OLIVEIRA;1/2/2015 ...
VALADARES FILHO;1/2/2015 até 12/7/2016, 10/11/2016 ...
VALDIR COLATTO;1/2/2015 ...
VALMIR ASSUNÇÃO;1/2/2015 ...
VALMIR PRASCIDELLI;1/2/2015 ...
VALTENIR PEREIRA;1/2/2015 até 6/7/2017
VANDER LOUBET;1/2/2015 ...
VANDERLEI MACRIS;1/2/2015 ...
VENEZIANO VITAL DO RÊGO;1/2/2015 até 1/8/2016, 30/11/2016 ...
VICENTE ARRUDA;6/8/2015 até 1/1/2017
VICENTE CANDIDO;1/2/2015 ...
VICENTINHO;1/2/2015 ...
VICENTINHO JÚNIOR;1/2/2015 ...
VICTOR MENDES;1/2/2015 ...
VINICIUS CARVALHO;1/2/2015 ...
VINICIUS GURGEL;1/2/2015 ...
VITOR LIPPI;1/2/2015 ...
VITOR VALIM;1/2/2015 ...
WADIH DAMOUS;19/5/2015 até 16/10/2015, 20/10/2015 até 4/5/2016, 19/5/2016 até 16/9/2016, 28/12/2016 ...
WALDENOR PEREIRA;1/2/2015 ...
WALDIR MARANHÃO;1/2/2015 ...
WALNEY ROCHA;10/2/2015 até 27/2/2015, 4/3/2015 até 9/12/2015, 25/4/2016 ...
WALTER ALVES;1/2/2015 ...
WALTER IHOSHI;3/2/2015 até 5/10/2015, 1/1/2017 ...
WELITON PRADO;1/2/2015 ...
WELLINGTON ROBERTO;1/2/2015 ...
WEVERTON ROCHA;1/2/2015 até 8/9/2015, 7/1/2016 ...
WILSON BESERRA;15/12/2015 até 22/12/2015, 28/12/2015 até 15/2/2016, 17/2/2016 até 19/2/2016, 22/2/2016 até 12/4/2016, 2/1/2017 até 2/8/2017, 7/8/2017 ...
WILSON FILHO;1/2/2015 ...
WLADIMIR COSTA;1/2/2015 ...
WOLNEY QUEIROZ;1/2/2015 ...
YEDA CRUSIUS;1/2/2015 ...
ZÉ AUGUSTO NALIN;8/10/2015 até 19/10/2015, 22/10/2015 até 9/12/2015, 10/12/2015 até 14/4/2016, 13/5/2016 até 1/6/2016, 4/10/2016 até 17/10/2016, 1/1/2017 ...
ZÉ CARLOS;1/2/2015 ...
ZÉ GERALDO;1/2/2015 ...
ZÉ SILVA;1/2/2015 ...
ZECA CAVALCANTI;1/2/2015 ...
ZECA DIRCEU;1/2/2015 ...
ZECA DO PT;1/2/2015 ...
ZENAIDE MAIA;1/2/2015 ...
ANDERSON FERREIRA;1/2/2015 até 1/1/2017
ARNALDO JARDIM;1/2/2015 até 3/2/2015, 7/7/2015 até 14/7/2015, 19/10/2015 até 21/10/2015, 14/4/2016 até 19/4/2016, 19/10/2016 até 21/10/2016
ARNON BEZERRA;1/2/2015 até 1/1/2017
ÁTILA A. NUNES;6/1/2016 até 23/2/2016
BOSCO COSTA;12/7/2016 até 10/11/2016
BRUNO ARAÚJO;1/2/2015 até 12/5/2016, 10/10/2016 até 11/10/2016, 20/10/2016 até 26/10/2016, 26/4/2017 até 27/4/2017, 2/8/2017 até 3/8/2017
CAPITÃO FÁBIO ABREU;1/2/2015 até 10/3/2015, 6/7/2015 até 7/7/2015, 15/4/2016 até 19/4/2016, 18/10/2016 até 21/10/2016
CLARISSA GAROTINHO;1/2/2015 até 1/1/2017
DAVI ALVES SILVA JÚNIOR;18/5/2016 até 25/11/2016
DR. JOÃO;1/2/2015 até 1/1/2017
DUARTE NOGUEIRA;1/2/2015 até 3/2/2015, 7/7/2015 até 14/7/2015, 19/10/2015 até 21/10/2015, 4/4/2016 até 31/12/2016
EDINHO ARAÚJO;1/2/2015 até 2/2/2015, 5/10/2015 até 1/1/2017
EDUARDO CUNHA;1/2/2015 até 13/9/2016
FABIANO HORTA;1/2/2015 até 19/5/2015, 16/10/2015 até 20/10/2015, 4/5/2016 até 28/12/2016
FLAVIO NOGUEIRA;6/10/2015 até 17/2/2016, 18/2/2016 até 14/4/2016, 19/4/2016 até 28/4/2016
FLORIANO PESARO;1/2/2015 até 3/2/2015, 24/2/2015 até 3/3/2015, 7/7/2015 até 14/7/2015, 19/10/2015 até 21/10/2015, 14/4/2016 até 19/4/2016, 19/10/2016 até 21/10/2016
ILDON MARQUES;21/6/2016 até 19/10/2016
JOÃO CASTELO;1/2/2015 até 11/12/2016
JOSIAS GOMES;1/2/2015 até 3/2/2015, 7/7/2015 até 9/7/2015, 1/2/2016 até 3/2/2016, 1/8/2017 ...
LEONARDO PICCIANI;1/2/2015 até 12/5/2016, 2/8/2017 até 3/8/2017
MANOEL JUNIOR;1/2/2015 até 1/1/2017
MARCELO BELINATI;1/2/2015 até 1/1/2017
MARCONDES GADELHA;1/12/2015 até 31/3/2016
MARCOS ROTTA;1/2/2015 até 22/12/2016
MARQUINHO MENDES;10/2/2015 até 14/4/2016, 19/4/2016 até 13/9/2016
MARX BELTRÃO;1/2/2015 até 5/10/2016, 10/10/2016 até 11/10/2016, 2/8/2017 até 3/8/2017
MAURÍCIO QUINTELLA LESSA;1/2/2015 até 12/5/2016, 2/8/2017 até 3/8/2017
MAURO BENEVIDES;3/5/2016 até 15/9/2016
MAX FILHO;1/2/2015 até 1/1/2017
MERLONG SOLANO;25/3/2015 até 12/5/2015, 21/10/2016 ...
MIGUEL CORRÊA;1/2/2015 até 6/2/2015, 6/7/2015 até 8/7/2015, 16/4/2016 até 19/4/2016
MORONI TORGAN;1/2/2015 até 31/12/2016
NILMÁRIO MIRANDA;17/3/2016 ...
ODAIR CUNHA;1/2/2015 até 3/2/2015, 6/7/2015 até 8/7/2015, 1/2/2016 até 3/2/2016, 15/4/2016 até 16/4/2016
ODELMO LEÃO;1/2/2015 até 31/12/2016
OSMAR TERRA;1/2/2015 até 12/5/2016, 2/8/2017 até 3/8/2017
PROFESSOR SÉRGIO DE OLIVEIRA;17/5/2016 até 16/7/2016
RAUL JUNGMANN;12/2/2015 até 14/4/2016, 20/4/2016 até 12/5/2016, 8/8/2017 ...
REJANE DIAS;1/2/2015 até 23/3/2015, 6/7/2015 até 7/7/2015, 13/4/2016 até 19/4/2016, 18/10/2016 até 21/10/2016
RICARDO BARROS;1/2/2015 até 12/5/2016
ROBERTO TEIXEIRA;17/5/2016 até 31/5/2016
RODRIGO GARCIA;1/2/2015 até 19/3/2015, 7/7/2015 até 14/7/2015, 19/10/2015 até 21/10/2015, 14/4/2016 até 19/4/2016, 19/10/2016 até 21/10/2016
RONALDO NOGUEIRA;1/2/2015 até 12/5/2016, 26/4/2017 até 27/4/2017, 2/8/2017 até 3/8/2017
ROSÂNGELA CURADO;9/9/2015 até 7/1/2016
ROSSONI;1/2/2015 até 15/3/2016
SAMUEL MOREIRA;1/2/2015 até 6/4/2016, 14/4/2016 até 19/4/2016, 19/10/2016 até 21/10/2016
SANDES JÚNIOR;4/2/2015 até 19/10/2015, 26/10/2015 até 8/4/2016, 25/5/2016 até 11/7/2016, 14/7/2016 até 12/11/2016
SARNEY FILHO;1/2/2015 até 12/5/2016, 2/8/2017 até 3/8/2017
SEBASTIÃO OLIVEIRA;1/2/2015 até 4/2/2015, 15/4/2016 até 20/4/2016, 13/7/2016 até 25/7/2016, 2/8/2017 até 4/8/2017
SIBÁ MACHADO;1/2/2015 até 15/8/2016
SILAS BRASILEIRO;26/4/2016 ...
TAMPINHA;20/1/2016 até 18/5/2016, 25/8/2016 até 22/12/2016
VAL AMÉLIO;25/5/2016 até 22/9/2016
WADSON RIBEIRO;3/2/2016 ...
WASHINGTON REIS;1/2/2015 até 1/1/2017
WILLIAM WOO;9/2/2015 até 21/5/2015, 23/9/2015 até 30/9/2015, 13/10/2015 até 19/10/2015, 22/10/2015 até 5/4/2016
ANTONIO BALHMANN;1/2/2015 até 6/8/2015
FABRICIO OLIVEIRA;8/7/2015 até 4/11/2015
FERNANDO MARRONI;9/2/2015 até 5/10/2015
GIOVANI FELTES;1/2/2015 até 12/2/2015, 23/2/2015 até 24/2/2015
LUIZ CARLOS;1/2/2015 ...
MARCIO MONTEIRO;1/2/2015 até 3/2/2015
NEWTON CARDOSO;1/2/2015 ...
PENNA;21/5/2015 até 23/9/2015
